root,group,pkg,severity,matches_root
transformers,indirect,nvidia-nvshmem-cu12,unknown,0
transformers,indirect,nvidia-nvtx-cu12,unknown,0
transformers,indirect,optree,unknown,0
transformers,indirect,nvidia-nvjitlink-cu12,unknown,0
transformers,indirect,setuptools,high,0
transformers,indirect,nvidia-curand-cu12,unknown,0
transformers,indirect,nvidia-cusolver-cu12,unknown,0
transformers,indirect,nvidia-nccl-cu12,unknown,0
transformers,indirect,nvidia-cuda-nvrtc-cu12,unknown,0
transformers,indirect,docopt,unknown,0
transformers,indirect,babel,unknown,0
transformers,indirect,markupsafe,unknown,0
transformers,indirect,zstandard,unknown,0
transformers,indirect,h2,medium,0
transformers,indirect,brotlicffi,unknown,0
transformers,indirect,brotli,high,0
transformers,indirect,python-crfsuite,unknown,0
transformers,indirect,twython,unknown,0
transformers,indirect,pyparsing,unknown,0
transformers,indirect,slack-sdk,unknown,0
transformers,indirect,nbval,unknown,0
transformers,indirect,ipywidgets,unknown,0
transformers,indirect,colorama,unknown,0
transformers,indirect,h5py,unknown,0
transformers,indirect,namex,unknown,0
transformers,indirect,absl-py,unknown,0
transformers,indirect,ml-dtypes,unknown,0
transformers,indirect,itsdangerous,unknown,0
transformers,indirect,httpx,unknown,0
transformers,indirect,anyio,unknown,0
transformers,indirect,python-multipart,high,0
transformers,indirect,pytest-env,unknown,0
transformers,indirect,time-machine,unknown,0
transformers,indirect,coverage-enable-subprocess,unknown,0
transformers,indirect,covdefaults,unknown,0
transformers,indirect,distlib,unknown,0
transformers,indirect,proselint,unknown,0
transformers,indirect,flaky,unknown,0
transformers,indirect,sphinxcontrib-towncrier,unknown,0
transformers,indirect,pytest-freezer,unknown,0
transformers,indirect,sphinx-argparse,unknown,0
transformers,indirect,aiohappyeyeballs,unknown,0
transformers,indirect,aiodns,unknown,0
transformers,indirect,aiosignal,unknown,0
transformers,indirect,yarl,unknown,0
transformers,indirect,frozenlist,unknown,0
transformers,indirect,multidict,unknown,0
transformers,indirect,propcache,unknown,0
transformers,indirect,backports.zstd,unknown,0
transformers,indirect,partial-json-parser,unknown,0
transformers,indirect,six,unknown,0
transformers,indirect,diskcache,unknown,0
transformers,indirect,typing_extensions,unknown,0
transformers,indirect,setproctitle,unknown,0
transformers,indirect,lm-format-enforcer,unknown,0
transformers,indirect,petit-kernel,unknown,0
transformers,indirect,msgspec,unknown,0
transformers,indirect,xformers,unknown,0
transformers,indirect,flashinfer-python,unknown,0
transformers,indirect,xgrammar,high,0
transformers,indirect,pyzmq,unknown,0
transformers,indirect,google-cloud-storage,unknown,0
transformers,indirect,runai-model-streamer,unknown,0
transformers,indirect,tensorizer,unknown,0
transformers,indirect,openai-harmony,unknown,0
transformers,indirect,compressed-tensors,unknown,0
transformers,indirect,runai-model-streamer-s3,unknown,0
transformers,indirect,fastsafetensors,unknown,0
transformers,indirect,opencv-python-headless,high,0
transformers,indirect,cachetools,unknown,0
transformers,indirect,outlines_core,unknown,0
transformers,indirect,gguf,unknown,0
transformers,indirect,blake3,unknown,0
transformers,indirect,prometheus-fastapi-instrumentator,unknown,0
transformers,indirect,soundfile,unknown,0
transformers,indirect,pybase64,unknown,0
transformers,indirect,cbor2,high,0
transformers,indirect,lark,unknown,0
transformers,indirect,numba,unknown,0
transformers,indirect,llguidance,unknown,0
transformers,indirect,mistral_common,unknown,0
transformers,indirect,runai-model-streamer-gcs,unknown,0
transformers,indirect,depyf,unknown,0
transformers,indirect,python-json-logger,unknown,0
transformers,indirect,ml_dtypes,unknown,0
transformers,indirect,requests-auth-aws-sigv4,unknown,0
transformers,indirect,waitress,critical,1
transformers,indirect,databricks-agents,unknown,0
transformers,indirect,flask-wtf,unknown,0
transformers,indirect,azureml-core,unknown,0
transformers,indirect,mlflow-tracing,unknown,0
transformers,indirect,pysftp,unknown,0
transformers,indirect,mlflow-dbstore,unknown,0
transformers,indirect,mlflow-jfrog-plugin,unknown,0
transformers,indirect,langchain,high,0
transformers,indirect,gunicorn,high,0
transformers,indirect,mlflow-skinny,unknown,0
transformers,indirect,azure-storage-file-datalake,unknown,0
transformers,indirect,prometheus-flask-exporter,unknown,0
transformers,indirect,kubernetes,unknown,0
transformers,indirect,mlserver-mlflow,unknown,0
transformers,indirect,botocore,unknown,0
transformers,indirect,flask,low,0
transformers,indirect,flask-cors,high,0
transformers,indirect,fastmcp,high,0
transformers,indirect,alembic,unknown,0
transformers,indirect,mlserver,unknown,0
transformers,indirect,huey,unknown,0
transformers,indirect,cryptography,high,0
transformers,indirect,slowapi,unknown,0
transformers,indirect,aliyunstoreplugin,unknown,0
transformers,indirect,sqlalchemy,unknown,0
transformers,indirect,apache-airflow-providers-sendgrid,unknown,0
transformers,indirect,apache-airflow-providers-vertica,unknown,0
transformers,indirect,apache-airflow-providers-microsoft-psrp,unknown,0
transformers,indirect,apache-airflow-providers-apache-kylin,unknown,0
transformers,indirect,apache-airflow-providers-google,unknown,0
transformers,indirect,apache-airflow-providers-qdrant,unknown,0
transformers,indirect,apache-airflow-providers-samba,unknown,0
transformers,indirect,apache-airflow-providers-apache-livy,unknown,0
transformers,indirect,apache-airflow-providers-apache-beam,unknown,0
transformers,indirect,apache-airflow-providers-teradata,unknown,0
transformers,indirect,apache-airflow-providers-common-sql,high,0
transformers,indirect,apache-airflow-providers-common-compat,unknown,0
transformers,indirect,apache-airflow-providers-ssh,unknown,0
transformers,indirect,apache-airflow-providers-apprise,unknown,0
transformers,indirect,apache-airflow-providers-celery,unknown,0
transformers,indirect,apache-airflow-providers-apache-cassandra,unknown,0
transformers,indirect,apache-airflow-providers-trino,unknown,0
transformers,indirect,apache-airflow-providers-apache-drill,unknown,0
transformers,indirect,apache-airflow-providers-dbt-cloud,unknown,0
transformers,indirect,apache-airflow-providers-standard,unknown,0
transformers,indirect,apache-airflow-task-sdk,unknown,0
transformers,indirect,apache-airflow-providers-pagerduty,unknown,0
transformers,indirect,apache-airflow-providers-cncf-kubernetes,medium,0
transformers,indirect,apache-airflow-providers-postgres,unknown,0
transformers,indirect,apache-airflow-providers-odbc,unknown,0
transformers,indirect,apache-airflow-providers-atlassian-jira,unknown,0
transformers,indirect,apache-airflow-providers-apache-iceberg,unknown,0
transformers,indirect,apache-airflow-providers-apache-spark,unknown,0
transformers,indirect,apache-airflow-providers-elasticsearch,unknown,0
transformers,indirect,apache-airflow-providers-openfaas,unknown,0
transformers,indirect,apache-airflow-providers-apache-druid,unknown,0
transformers,indirect,apache-airflow-providers-openai,unknown,0
transformers,indirect,apache-airflow-providers-salesforce,unknown,0
transformers,indirect,apache-airflow-providers-apache-impala,unknown,0
transformers,indirect,apache-airflow-providers-grpc,unknown,0
transformers,indirect,apache-airflow-providers-common-messaging,unknown,0
transformers,indirect,apache-airflow-providers-presto,unknown,0
transformers,indirect,apache-airflow-providers-jenkins,unknown,0
transformers,indirect,apache-airflow-providers-apache-pig,unknown,0
transformers,indirect,apache-airflow-providers-mongo,critical,1
transformers,indirect,apache-airflow-providers-fab,low,0
transformers,indirect,apache-airflow-providers-weaviate,unknown,0
transformers,indirect,apache-airflow-providers-alibaba,unknown,0
transformers,indirect,apache-airflow-providers-apache-pinot,unknown,0
transformers,indirect,apache-airflow-providers-common-io,unknown,0
transformers,indirect,apache-airflow-providers-sftp,unknown,0
transformers,indirect,apache-airflow-providers-apache-tinkerpop,unknown,0
transformers,indirect,apache-airflow-providers-microsoft-winrm,unknown,0
transformers,indirect,apache-airflow-providers-arangodb,unknown,0
transformers,indirect,apache-airflow-providers-snowflake,critical,1
transformers,indirect,apache-airflow-providers-telegram,unknown,0
transformers,indirect,apache-airflow-providers-cloudant,unknown,0
transformers,indirect,apache-airflow-providers-yandex,unknown,0
transformers,indirect,apache-airflow-providers-mysql,medium,0
transformers,indirect,apache-airflow-providers-edge3,unknown,0
transformers,indirect,apache-airflow-providers-apache-hdfs,unknown,0
transformers,indirect,apache-airflow-providers-tableau,unknown,0
transformers,indirect,apache-airflow-providers-pinecone,unknown,0
transformers,indirect,apache-airflow-providers-apache-flink,unknown,0
transformers,indirect,apache-airflow-providers-http,unknown,0
transformers,indirect,apache-airflow-providers-singularity,unknown,0
transformers,indirect,apache-airflow-providers-apache-hive,unknown,0
transformers,indirect,apache-airflow-providers-asana,unknown,0
transformers,indirect,apache-airflow-providers-imap,unknown,0
transformers,indirect,apache-airflow-providers-opensearch,unknown,0
transformers,indirect,apache-airflow-providers-opsgenie,unknown,0
transformers,indirect,apache-airflow-providers-exasol,unknown,0
transformers,indirect,apache-airflow-providers-oracle,unknown,0
transformers,indirect,apache-airflow-providers-slack,unknown,0
transformers,indirect,atlasclient,unknown,0
transformers,indirect,apache-airflow-providers-dingding,unknown,0
transformers,indirect,apache-airflow-providers-cohere,unknown,0
transformers,indirect,authlib,high,0
transformers,indirect,apache-airflow-core,unknown,0
transformers,indirect,apache-airflow-providers-smtp,unknown,0
transformers,indirect,apache-airflow-providers-jdbc,unknown,0
transformers,indirect,apache-airflow-providers-ftp,low,0
transformers,indirect,apache-airflow-providers-github,unknown,0
transformers,indirect,apache-airflow-providers-hashicorp,unknown,0
transformers,indirect,apache-airflow-providers-papermill,unknown,0
transformers,indirect,apache-airflow-providers-microsoft-azure,unknown,0
transformers,indirect,apache-airflow-providers-docker,unknown,0
transformers,indirect,apache-airflow-providers-influxdb,unknown,0
transformers,indirect,apache-airflow-providers-datadog,unknown,0
transformers,indirect,apache-airflow-providers-airbyte,unknown,0
transformers,indirect,uv,medium,0
transformers,indirect,apache-airflow-providers-git,unknown,0
transformers,indirect,apache-airflow-providers-zendesk,unknown,0
transformers,indirect,apache-airflow-providers-segment,unknown,0
transformers,indirect,apache-airflow-providers-neo4j,unknown,0
transformers,indirect,apache-airflow-providers-ydb,unknown,0
transformers,indirect,apache-airflow-providers-openlineage,unknown,0
transformers,indirect,apache-airflow-providers-keycloak,unknown,0
transformers,indirect,apache-airflow-providers-apache-kafka,unknown,0
transformers,indirect,apache-airflow-providers-redis,unknown,0
transformers,indirect,apache-airflow-providers-microsoft-mssql,unknown,0
transformers,indirect,apache-airflow-providers-facebook,unknown,0
transformers,indirect,apache-airflow-providers-sqlite,unknown,0
transformers,indirect,amqp,unknown,0
transformers,indirect,apache-airflow-providers-databricks,unknown,0
transformers,indirect,apache-airflow-providers-discord,unknown,0
transformers,indirect,python-ldap,medium,0
transformers,indirect,apache-airflow-providers-pgvector,unknown,0
transformers,indirect,uvloop,unknown,0
transformers,indirect,pytokens,unknown,0
transformers,indirect,tokenize-rt,unknown,0
transformers,indirect,tomli,unknown,0
transformers,indirect,pathspec,unknown,0
transformers,indirect,ipython,unknown,0
transformers,indirect,sphinx-sitemap,unknown,0
transformers,indirect,ipdb,unknown,0
transformers,indirect,bump2version,unknown,0
transformers,indirect,tomli-w,unknown,0
transformers,indirect,pytest-benchmark,unknown,0
transformers,indirect,uuid6,unknown,0
transformers,indirect,flake8-pyproject,unknown,0
transformers,indirect,python-dateutil,unknown,0
transformers,indirect,sphinxemoji,unknown,0
transformers,indirect,nox,unknown,0
transformers,indirect,orjson,high,0
transformers,indirect,python-dotenv,unknown,0
transformers,indirect,sphinx-notfound-page,unknown,0
transformers,indirect,pip,medium,0
transformers,indirect,pygments-github-lexers,unknown,0
transformers,indirect,sphinx-reredirects,unknown,0
transformers,indirect,pytest-mypy,unknown,0
transformers,indirect,pyproject-hooks,unknown,0
transformers,indirect,pytest-subprocess,unknown,0
transformers,indirect,more_itertools,unknown,0
transformers,indirect,jaraco.tidelift,unknown,0
transformers,indirect,pytest-checkdocs,unknown,0
transformers,indirect,jaraco.path,unknown,0
transformers,indirect,jaraco.functools,unknown,0
transformers,indirect,pytest-enabler,unknown,0
transformers,indirect,pytest-ruff,unknown,0
transformers,indirect,sphinx-favicon,unknown,0
transformers,indirect,rst.linker,unknown,0
transformers,indirect,jaraco.text,unknown,0
transformers,indirect,wheel,unknown,0
transformers,indirect,ini2toml,unknown,0
transformers,indirect,jaraco.test,unknown,0
transformers,indirect,jaraco.packaging,unknown,0
transformers,indirect,pytest-perf,unknown,0
transformers,indirect,sphinx-lint,unknown,0
transformers,indirect,jaraco.envs,unknown,0
transformers,indirect,pytest-home,unknown,0
transformers,indirect,jaraco.develop,unknown,0
transformers,indirect,hyperframe,unknown,0
transformers,indirect,hpack,unknown,0
