package,in_degree,out_degree,severity_max,cwe_list,cwe_count
apache-airflow-providers-apache-hive,1,0,critical,"['CWE-20', 'CWE-77', 'CWE-78', 'CWE-94']",4
apache-airflow-providers-asana,1,0,unknown,[],0
apache-airflow-providers-imap,1,0,moderate,['CWE-295'],1
apache-airflow-providers-opensearch,1,0,unknown,[],0
apache-airflow-providers-opsgenie,1,0,unknown,[],0
apache-airflow-providers-exasol,1,0,unknown,[],0
apache-airflow-providers-oracle,1,0,unknown,[],0
apache-airflow-providers-slack,1,0,unknown,[],0
atlasclient,1,0,unknown,[],0
apache-airflow-providers-dingding,1,0,unknown,[],0
apache-airflow-providers-cohere,1,0,unknown,[],0
authlib,7,1,high,[],0
apache-airflow-core,1,0,unknown,[],0
apache-airflow-providers-smtp,1,0,moderate,['CWE-295'],1
apache-airflow-providers-jdbc,1,0,high,['CWE-20'],1
apache-airflow-providers-ftp,1,3,low,[],0
apache-airflow-providers-github,1,0,unknown,[],0
apache-airflow-providers-hashicorp,1,0,unknown,[],0
apache-airflow-providers-papermill,1,0,unknown,[],0
apache-airflow-providers-microsoft-azure,2,0,unknown,[],0
apache-airflow-providers-docker,1,0,high,[],0
apache-airflow-providers-influxdb,1,0,unknown,[],0
apache-airflow-providers-datadog,1,0,unknown,[],0
apache-airflow-providers-airbyte,1,0,unknown,[],0
uv,3,0,medium,[],0
apache-airflow-providers-git,1,0,unknown,[],0
apache-airflow-providers-zendesk,1,0,unknown,[],0
apache-airflow-providers-segment,1,0,unknown,[],0
apache-airflow-providers-neo4j,1,0,unknown,[],0
apache-airflow-providers-ydb,1,0,unknown,[],0
apache-airflow-providers-openlineage,5,0,unknown,[],0
apache-airflow-providers-keycloak,1,0,unknown,[],0
apache-airflow-providers-apache-kafka,1,0,unknown,[],0
apache-airflow-providers-redis,1,0,unknown,[],0
apache-airflow-providers-microsoft-mssql,1,0,moderate,['CWE-20'],1
apache-airflow-providers-facebook,1,0,unknown,[],0
apache-airflow-providers-amazon,3,0,high,['CWE-209'],1
apache-airflow-providers-sqlite,1,0,unknown,[],0
amqp,1,0,unknown,[],0
apache-airflow-providers-databricks,1,0,unknown,[],0
apache-airflow-providers-discord,1,0,unknown,[],0
python-ldap,1,2,medium,"['CWE-116', 'CWE-1333', 'CWE-170', 'CWE-75', 'CWE-843']",5
apache-airflow-providers-pgvector,1,0,unknown,[],0
asgiref,6,0,unknown,[],0
kubernetes,3,0,unknown,[],0
kubernetes_asyncio,1,0,unknown,[],0
sqlparse,3,3,high,"['CWE-1333', 'CWE-400']",2
methodtools,1,0,unknown,[],0
more-itertools,2,0,unknown,[],0
polars,5,0,unknown,[],0
pandas,29,0,low,"['CWE-862', 'CWE-94']",2
connexion,1,0,unknown,[],0
flask,10,9,low,"['CWE-200', 'CWE-22', 'CWE-254', 'CWE-284', 'CWE-352', 'CWE-502', 'CWE-601', 'CWE-89', 'CWE-913', 'CWE-914', 'CWE-918']",11
kerberos,1,0,critical,['CWE-287'],1
jmespath,3,0,unknown,[],0
flask-sqlalchemy,2,0,unknown,[],0
werkzeug,7,2,high,[],0
blinker,5,0,unknown,[],0
flask-wtf,3,0,unknown,[],0
wtforms,2,0,unknown,[],0
flask-login,2,0,unknown,[],0
msgpack,4,0,unknown,[],0
flask-appbuilder,1,24,critical,[],0
flask-session,1,0,unknown,[],0
flask_limiter,1,0,unknown,[],0
dnspython,4,21,medium,[],0
mysql-connector-python,2,6,high,[],0
mysqlclient,2,0,unknown,[],0
pyarrow,15,0,critical,[],0
snowflake-connector-python,4,34,high,[],0
snowflake-sqlalchemy,1,0,unknown,[],0
snowflake-snowpark-python,2,0,unknown,[],0
asteval,1,7,high,[],0
coverage,24,0,unknown,[],0
sphinx,30,0,unknown,[],0
astropy,1,51,high,['CWE-77'],1
mpmath,1,0,high,['CWE-770'],1
bleach,1,0,critical,"['CWE-1333', 'CWE-20', 'CWE-400', 'CWE-79']",4
h5py,3,0,unknown,[],0
sphinx_design,1,0,unknown,[],0
dask,3,0,critical,['CWE-668'],1
jupyter-core,3,12,high,[],0
beautifulsoup4,9,0,unknown,[],0
pandas-stubs,3,0,unknown,[],0
sgp4,1,0,unknown,[],0
fsspec,14,0,unknown,[],0
skyfield,1,0,unknown,[],0
ipython,12,0,critical,"['CWE-20', 'CWE-250', 'CWE-269', 'CWE-279', 'CWE-352', 'CWE-78', 'CWE-79', 'CWE-94']",8
asdf-astropy,1,0,unknown,[],0
pyerfa,1,0,unknown,[],0
jplephem,1,0,unknown,[],0
numpy,43,0,critical,"['CWE-120', 'CWE-20', 'CWE-476', 'CWE-502', 'CWE-59', 'CWE-697', 'CWE-835']",7
ipykernel,5,0,unknown,[],0
ipywidgets,4,0,unknown,[],0
scipy,18,0,high,['CWE-269'],1
html5lib,3,0,moderate,['CWE-79'],1
s3fs,2,0,unknown,[],0
pre-commit,17,0,unknown,[],0
pytest-astropy-header,1,0,unknown,[],0
array-api-strict,1,0,unknown,[],0
pytest-doctestplus,1,0,unknown,[],0
pytest-astropy,1,0,unknown,[],0
sphinx-astropy,1,0,unknown,[],0
sphinxcontrib-globalsubs,1,0,unknown,[],0
threadpoolctl,2,0,unknown,[],0
objgraph,2,0,unknown,[],0
bottleneck,1,0,unknown,[],0
astropy-iers-data,1,0,unknown,[],0
uncompresspy,1,0,unknown,[],0
asdf,1,0,unknown,[],0
pytest-xdist,16,0,unknown,[],0
certifi,13,0,low,"['CWE-17', 'CWE-19', 'CWE-20', 'CWE-208', 'CWE-295', 'CWE-303', 'CWE-310', 'CWE-325', 'CWE-347', 'CWE-362', 'CWE-399', 'CWE-404', 'CWE-476']",13
sphinx-changelog,1,0,unknown,[],0
ipydatagrid,1,0,unknown,[],0
tox,9,0,unknown,[],0
sortedcontainers,3,0,unknown,[],0
pytz,8,0,unknown,[],0
asyncssh,0,9,high,[],0
libnacl,1,0,unknown,[],0
typing_extensions,9,0,unknown,[],0
bcrypt,8,0,unknown,[],0
fido2,2,0,unknown,[],0
python-pkcs11,1,0,unknown,[],0
pywin32,5,0,high,['CWE-190'],1
gssapi,3,0,unknown,[],0
pyopenssl,12,0,high,"['CWE-20', 'CWE-401', 'CWE-404', 'CWE-416']",4
aws-sam-cli,0,51,medium,[],0
parameterized,2,0,unknown,[],0
click,24,0,unknown,"['CWE-116', 'CWE-601', 'CWE-74', 'CWE-79', 'CWE-80', 'CWE-94']",6
aws-sam-translator,1,0,unknown,[],0
pytest-metadata,1,0,unknown,[],0
tomlkit,5,0,unknown,[],0
regex,6,0,unknown,[],0
types-pywin32,1,0,unknown,[],0
chevron,1,0,unknown,[],0
aws_lambda_builders,1,0,unknown,[],0
pytest-timeout,18,0,unknown,[],0
cookiecutter,3,0,critical,['CWE-78'],1
dateparser,2,0,unknown,[],0
docker,6,0,unknown,"['CWE-287', 'CWE-290', 'CWE-807', 'CWE-94']",4
ruamel_yaml,1,0,unknown,[],0
boto3-stubs,1,0,unknown,[],0
jsonschema,13,0,unknown,[],0
types-jsonschema,1,0,unknown,[],0
pytest-json-report-wip,1,0,unknown,[],0
types-docutils,1,0,unknown,[],0
types-dateparser,1,0,unknown,[],0
types-requests,4,0,unknown,[],0
types-pygments,1,0,unknown,[],0
black,12,13,medium,[],0
types-urllib3,1,0,unknown,[],0
types-chevron,1,0,unknown,[],0
types-pyopenssl,3,0,unknown,[],0
pytest-forked,2,0,unknown,[],0
psutil,18,0,high,['CWE-415'],1
tzlocal,1,0,unknown,[],0
filelock,9,0,unknown,[],0
pytest-rerunfailures,8,0,unknown,[],0
types-psutil,1,0,unknown,[],0
cfn-lint,1,0,unknown,[],0
watchdog,5,0,unknown,[],0
types-setuptools,3,0,unknown,[],0
types-colorama,1,0,unknown,[],0
azure-identity,3,5,medium,[],0
azure-core,1,0,unknown,[],0
msal-extensions,1,0,unknown,[],0
msal,1,0,unknown,[],0
uvloop,5,0,unknown,[],0
mypy-extensions,3,0,unknown,[],0
pytokens,1,0,unknown,[],0
platformdirs,10,0,unknown,[],0
tokenize-rt,1,0,unknown,[],0
tomli,8,0,unknown,[],0
colorama,7,0,unknown,[],0
pathspec,5,0,unknown,[],0
browser-use,0,49,critical,[],0
textual,1,0,unknown,[],0
google-auth,2,0,unknown,[],0
imgcat,1,0,unknown,[],0
posthog,2,0,unknown,[],0
langchain-openai,3,0,unknown,[],0
imageio,2,0,unknown,[],0
datamodel-code-generator,1,0,unknown,[],0
botocore,4,0,unknown,['CWE-601'],1
google-api-core,3,0,unknown,[],0
anyio,8,0,unknown,[],0
lmnr,1,0,unknown,[],0
screeninfo,1,0,unknown,[],0
cdp-use,1,0,unknown,[],0
markdownify,2,2,low,[],0
oci,1,0,unknown,[],0
uuid7,1,0,unknown,[],0
pyobjc,1,0,unknown,[],0
inquirerpy,1,0,unknown,[],0
agentmail,1,0,unknown,[],0
tabulate,5,0,unknown,[],0
portalocker,2,0,unknown,[],0
pyotp,1,0,unknown,[],0
bubus,1,0,unknown,[],0
cadwyn,0,8,high,[],0
starlette,7,7,high,"['CWE-400', 'CWE-770']",2
backports-strenum,1,0,unknown,[],0
typing-inspection,2,0,unknown,[],0
check-jsonschema,0,6,medium,[],0
regress,1,0,unknown,"['CWE-172', 'CWE-250', 'CWE-269', 'CWE-362', 'CWE-400', 'CWE-427', 'CWE-522', 'CWE-770']",8
ruamel.yaml,3,0,unknown,[],0
clearml,0,21,high,[],0
six,6,0,unknown,[],0
azure-storage-blob,4,0,moderate,['CWE-668'],1
urllib3,12,5,medium,"['CWE-200', 'CWE-295', 'CWE-400', 'CWE-601', 'CWE-669', 'CWE-93']",6
pathlib2,1,0,unknown,[],0
referencing,1,0,unknown,[],0
python-dateutil,9,0,unknown,[],0
furl,1,0,unknown,[],0
pyparsing,4,0,unknown,[],0
copier,1,15,high,[],0
jinja2-ansible-filters,1,0,unknown,[],0
dunamai,1,0,unknown,[],0
eval-type-backport,2,0,unknown,[],0
questionary,1,0,unknown,[],0
pygments,6,0,critical,"['CWE-400', 'CWE-434', 'CWE-78', 'CWE-835']",4
funcy,2,0,unknown,[],0
plumbum,2,0,unknown,[],0
alphashape,1,0,unknown,[],0
sentence-transformers,3,0,unknown,[],0
humanize,2,0,unknown,[],0
rank-bm25,2,0,unknown,[],0
fake-useragent,2,0,unknown,[],0
scikit-learn,10,33,medium,[],0
selenium,2,0,low,[],0
shapely,3,0,unknown,[],0
aiosqlite,4,0,unknown,[],0
nltk,6,12,high,"['CWE-400', 'CWE-502']",2
patchright,1,0,unknown,[],0
cssselect,2,0,unknown,[],0
transformers,8,99,critical,"['CWE-1333', 'CWE-94']",2
snowballstemmer,2,0,unknown,[],0
torch,11,26,critical,['CWE-502'],1
tokenizers,4,0,unknown,['CWE-76'],1
xxhash,1,0,unknown,[],0
chardet,2,0,unknown,[],0
pypdf2,1,0,moderate,"['CWE-407', 'CWE-835']",2
lxml,8,0,moderate,"['CWE-476', 'CWE-74', 'CWE-79']",3
lark,2,0,unknown,[],0
tf-playwright-stealth,1,0,unknown,[],0
sphinxcontrib-spelling,4,0,unknown,[],0
sphinx-rtd-theme,10,0,unknown,[],0
pyenchant,1,0,unknown,[],0
pretend,1,0,unknown,[],0
pytest-benchmark,3,0,unknown,[],0
cryptography-vectors,1,0,unknown,[],0
nox,2,0,unknown,[],0
readme-renderer,1,0,unknown,[],0
check-sdist,1,0,unknown,[],0
sphinx-inline-tabs,3,0,unknown,[],0
pytest-randomly,3,0,unknown,[],0
cffi,7,0,unknown,[],0
curl-cffi,1,24,high,[],0
readability-lxml,1,0,unknown,[],0
proxy.py,1,0,high,"['CWE-287', 'CWE-480', 'CWE-697']",3
cibuildwheel,1,0,unknown,[],0
wheel,12,0,high,['CWE-1333'],1
pytest-trio,1,0,unknown,[],0
trio,2,0,unknown,[],0
trustme,1,0,unknown,[],0
websockets,7,0,high,"['CWE-203', 'CWE-208', 'CWE-400', 'CWE-409']",4
charset_normalizer,3,0,unknown,[],0
dagster,0,71,medium,[],0
types-paramiko,1,0,unknown,[],0
types-backports,1,0,unknown,[],0
grpcio-tools,3,0,unknown,[],0
types-six,1,0,unknown,[],0
types-python-dateutil,2,0,unknown,[],0
universal_pathlib,1,0,unknown,[],0
structlog,2,0,unknown,[],0
mypy-protobuf,2,0,unknown,[],0
morefs,1,0,unknown,[],0
types-toml,2,0,unknown,[],0
rapidfuzz,3,0,unknown,[],0
types-tzlocal,1,0,unknown,[],0
toposort,1,0,unknown,[],0
dagster-pipes,1,0,unknown,[],0
tqdm,16,9,low,[],0
types-chardet,1,0,unknown,[],0
syrupy,1,0,unknown,[],0
coloredlogs,2,0,unknown,[],0
types-certifi,1,0,unknown,[],0
types-mock,1,0,unknown,[],0
dagster-shared,1,0,unknown,[],0
responses,3,0,unknown,"['CWE-16', 'CWE-22', 'CWE-311', 'CWE-354', 'CWE-601']",5
types-cryptography,1,0,unknown,[],0
pyright,3,0,unknown,[],0
alembic,5,0,unknown,[],0
tzdata,4,0,unknown,[],0
grpcio-health-checking,3,0,unknown,[],0
antlr4-python3-runtime,1,0,unknown,[],0
setuptools,14,45,high,"['CWE-1333', 'CWE-22']",2
flaky,4,0,unknown,[],0
types-tabulate,2,0,unknown,[],0
grpcio,6,0,high,"['CWE-248', 'CWE-440', 'CWE-617', 'CWE-770', 'CWE-789']",5
buildkite-test-collector,1,0,unknown,[],0
types-pytz,2,0,unknown,[],0
types-simplejson,1,0,unknown,[],0
dash,0,50,medium,"['CWE-203', 'CWE-502', 'CWE-670', 'CWE-88', 'CWE-94']",5
multiprocess,1,0,unknown,[],0
dash_testing_stub,1,0,unknown,[],0
waitress,2,6,critical,"['CWE-248', 'CWE-362', 'CWE-367', 'CWE-444', 'CWE-772']",5
diskcache,3,0,unknown,[],0
plotly-cloud,1,0,unknown,[],0
mock,4,0,unknown,[],0
mimesis,1,0,unknown,[],0
importlib-metadata,15,0,unknown,[],0
xlrd,3,0,unknown,[],0
plotly,4,0,unknown,[],0
retrying,1,0,unknown,[],0
nest-asyncio,3,0,unknown,[],0
celery,3,0,high,"['CWE-269', 'CWE-77', 'CWE-78']",3
pyzmq,4,0,unknown,[],0
percy,1,0,unknown,[],0
jupyterlab,3,51,high,[],0
flask-compress,1,0,unknown,[],0
dash-ag-grid,1,0,unknown,[],0
flask-talisman,2,0,unknown,[],0
fire,1,0,unknown,[],0
flake8,9,0,unknown,[],0
pytest-sugar,2,0,unknown,[],0
pylint,3,0,unknown,[],0
openpyxl,3,0,moderate,['CWE-611'],1
kombu,1,0,unknown,[],0
dbt-core,0,22,high,['CWE-1327'],1
daff,1,0,unknown,[],0
agate,1,0,unknown,[],0
dbt-common,1,0,unknown,[],0
dbt-semantic-interfaces,1,0,unknown,[],0
networkx,7,0,unknown,[],0
dbt-adapters,1,0,unknown,[],0
mashumaro,1,0,unknown,[],0
dbt-protos,1,0,unknown,[],0
dbt-extractor,1,0,unknown,[],0
snowplow-tracker,1,0,unknown,[],0
deepdiff,1,26,critical,[],0
sphinx-sitemap,1,0,unknown,[],0
ipdb,1,0,unknown,[],0
bump2version,2,0,unknown,[],0
tomli-w,3,0,unknown,[],0
uuid6,1,0,unknown,[],0
flake8-pyproject,1,0,unknown,[],0
sphinxemoji,2,0,unknown,[],0
jsonpickle,2,0,critical,['CWE-502'],1
orderly-set,2,0,unknown,[],0
deepspeed,3,46,high,[],0
py-cpuinfo,2,0,unknown,[],0
torchvision,7,0,unknown,[],0
clang-format,1,0,unknown,[],0
mpi4py,1,0,unknown,[],0
future,1,0,high,['CWE-400'],1
neural-compressor,1,0,unknown,[],0
sentencepiece,7,0,unknown,[],0
safetensors,3,0,unknown,[],0
mup,1,0,unknown,[],0
comet_ml,1,0,unknown,[],0
google,1,0,unknown,"['CWE-190', 'CWE-22', 'CWE-24', 'CWE-248', 'CWE-264', 'CWE-289', 'CWE-352']",7
accelerate,4,0,unknown,[],0
wandb,1,0,unknown,[],0
tensorboard,5,0,unknown,[],0
docutils,3,0,critical,['CWE-668'],1
deepspeed-kernels,1,0,unknown,[],0
xgboost,2,0,unknown,[],0
autodoc_pydantic,1,0,unknown,[],0
recommonmark,1,0,unknown,[],0
einops,4,0,unknown,[],0
qtorch,1,0,unknown,[],0
lm-eval,1,0,unknown,[],0
ninja,5,0,unknown,[],0
hjson,1,0,unknown,[],0
sphinx_rtd_theme,5,0,unknown,[],0
triton,3,0,unknown,[],0
diffusers,2,0,unknown,[],0
django,5,5,critical,"['CWE-119', 'CWE-20', 'CWE-200', 'CWE-201', 'CWE-209', 'CWE-276', 'CWE-306', 'CWE-312', 'CWE-399', 'CWE-407', 'CWE-79', 'CWE-863', 'CWE-915', 'CWE-918', 'CWE-94', 'CWE-95', 'CWE-97']",17
argon2-cffi,4,0,unknown,[],0
djangorestframework,1,1,low,[],0
djangorestframework-simplejwt,0,21,low,[],0
pyupgrade,1,0,unknown,[],0
pytest-django,1,0,unknown,[],0
pytest-watch,1,0,unknown,[],0
yesqa,1,0,unknown,[],0
python-jose,2,8,critical,"['CWE-269', 'CWE-327', 'CWE-361', 'CWE-400']",4
freezegun,1,0,unknown,[],0
idna,6,4,medium,['CWE-407'],1
wmi,1,0,unknown,[],0
hypercorn,2,0,unknown,[],0
quart-trio,1,0,unknown,[],0
httpcore,3,0,unknown,[],0
aioquic,2,0,unknown,[],0
h2,4,2,medium,[],0
adbc-driver-manager,1,0,unknown,[],0
ecdsa,1,3,high,[],0
gmpy,1,0,unknown,[],0
gmpy2,1,0,unknown,[],0
embedchain,0,43,critical,[],0
google-generativeai,2,0,unknown,[],0
langchain,4,20,high,[],0
elasticsearch,3,0,unknown,['CWE-284'],1
langchain-google-vertexai,2,0,unknown,[],0
